f1.18001829f3.6660258	f1.18p-f3.67m
f5.45933027f4.62974974	f5.46m-f4.63m
f7.7263651f7.117331	f7.73m-f7.12m
f6.71691438f7.5543394	f6.72m-f7.55p
f6.55095009f6.24620988	f6.55p-f6.25m
f0.97475418f2.47537718	f0.97p-f2.48m
f5.18848173f7.0109346	f5.19m-f7.01p
f8.22507171f3.00131145	f8.23m-f3.0p
f6.6336729f3.04562355	f6.63p-f3.05m
f3.43006857f3.23015616	f3.43p-f3.23p
f8.38761746f3.74338363	f8.39m-f3.74p
f4.14843399f1.8614884	f4.15m-f1.86p
f3.76460529f6.36097057	f3.76p-f6.36p
f6.89686185f4.07081943	f6.9m-f4.07p
f2.90444467f3.23015616	f2.9p-f3.23p
f8.1918897f8.33470473	f8.19p-f8.33p
f1.31378065f1.70904734	f1.31p-f1.71m
f3.82947275f4.26441488	f3.83m-f4.26p
f7.06217792f2.34609156	f7.06p-f2.35m
f1.61871485f1.01900188	f1.62m-f1.02m
f6.68878115f4.30671322	f6.69m-f4.31m
f8.02105451f7.90392089	f8.02p-f7.9p
f7.10426492f3.24618599	f7.1p-f3.25m
f5.29065005f6.24620988	f5.29p-f6.25m
f8.20628545f4.05847317	f8.21m-f4.06m
f5.51326463f1.66487509	f5.51p-f1.66p
f4.58958407f3.23015616	f4.59m-f3.23p
f3.29149357f2.17139329	f3.29p-f2.17p
f2.88363939f2.47461135	f2.88p-f2.47p
f8.34643622f4.00955893	f8.35m-f4.01m
f5.34719257f4.29740181	f5.35m-f4.3m
f2.92630419f5.24436416	f2.93m-f5.24p
f3.48227835f5.24436416	f3.48p-f5.24p
f5.52944098f6.36097057	f5.53m-f6.36p
f6.07064227f6.65703491	f6.07p-f6.66m
f2.63782808f1.50892693	f2.64m-f1.51m
f3.90357189f2.16092068	f3.9p-f2.16p
f2.21837317f4.00955893	f2.22m-f4.01m
f5.4446624f7.117331	f5.44p-f7.12m
f8.05600859f7.7263651	f8.06m-f7.73m
f7.02540525f7.50037017	f7.03m-f7.5p
f4.55579687f7.67911541	f4.56m-f7.68m
f3.60478819f1.8614884	f3.6p-f1.86p
f6.96092807f3.87397676	f6.96p-f3.87p
f3.9339112f5.86025971	f3.93p-f5.86p
f7.03452178f2.9415488	f7.03p-f2.94p
